Topic,Word Representation,CategoryLv3,Category Lv. 2,Category Lv. 1
8,"['stanford', 'corenlp', 'jar', 'java', 'server', 'parser', 'exception', 'error', 'maven', 'download']",Setup and Debug Stanford CoreNLP in Java Environments,Natural Language Processing with Stanford CoreNLP,Libraries and Tools
95,"['corenlp', 'stanford', 'annotation', 'annotator', 'chinese', 'pipeline', 'file', 'line', 'ssplit', 'property']",Configuring Stanford CoreNLP Annotation Pipelines for Chinese Language Processing,Natural Language Processing with Stanford CoreNLP,Libraries and Tools
64,"['coreference', 'resolution', 'pronoun', 'coref', 'corenlp', 'mention', 'annotation', 'stanford', 'neuralcoref', 'anaphora']",Coreference Resolution in NLP Using Stanford CoreNLP and NeuralCoref,Natural Language Processing with Stanford CoreNLP,Libraries and Tools
135,"['ner', 'stanford', 'custom', 'model', 'corenlp', 'file', 'train', 'training', 'entity', 'tsv']",Training Custom Named Entity Recognition (NER) Models with Stanford CoreNLP,Custom Named Entity Recognition (NER) Models,Information Extraction
47,"['ner', 'entity', 'recognition', 'name', 'named', 'recognize', 'custom', 'tag', 'crf', 'feature']",Named Entity Recognition (NER) Using CRF Models and Custom Features,Custom Named Entity Recognition (NER) Models,Information Extraction
7,"['spacy', 'ner', 'entity', 'custom', 'train', 'training', 'model', 'label', 'format', 'org']",Training Custom Named Entity Recognition (NER) Models with spaCy,Custom Named Entity Recognition (NER) Models,Information Extraction
61,"['opennlp', 'training', 'model', 'train', 'custom', 'finder', 'ner', 'apache', 'abbreviation', 'entity']",Custom Named Entity Recognition (NER) Training Using Apache OpenNLP,Natural Language Processing with Apache OpenNLP,Libraries and Tools
145,"['opennlp', 'noun', 'parse', 'np', 'phrase', 'extract', 'class', 'variant', 'java', 'tree']",Noun Phrase Parsing and Extraction Using Apache OpenNLP in Java,Natural Language Processing with Apache OpenNLP,Libraries and Tools
130,"['stanford', 'copper', 'wire', 'corenlp', 'split', 'token', 'tokenize', 'core', 'tokenizer', 'tokenization']",Tokenization Using Stanford CoreNLP,Tokenization Techniques,Preprocessing
36,"['tokenize', 'punctuation', 'tokenizer', 'token', 'tokenization', 'split', 'contraction', 'sentence', 'nltk', 'apostrophe']",Tokenization and Handling of Punctuation and Contractions in NLTK,Tokenization Techniques,Preprocessing
21,"['spacy', 'token', 'tokenizer', 'tokenize', 'split', 'sentence', 'benepar', 'tokenization', 'span', 'custom']",Custom Tokenization and Sentence Splitting in spaCy with Benepar,Tokenization Techniques,Preprocessing
94,"['tokenizer', 'keras', 'vocabulary', 'size', 'client', 'sequence', 'token', 'kera', 'tensorflow', 'tokenize']",Text Tokenization and Preparation Using Keras and TensorFlow,Tokenization Techniques,Preprocessing
83,"['tokenizer', 'token', 'huggingface', 'mask', 'pipeline', 'normalizer', 'hugging', 'roberta', 'face', 'transformer']",Tokenization and Preprocessing Pipelines with Hugging Face Transformers Library,Tokenization Techniques,Preprocessing
98,"['tokenization', 'bpe', 'wordpiece', 'tokenizer', 'token', 'byte', 'encoding', 'hyphenation', 'difference', 'transition']",Subword Tokenization Methods,Tokenization Techniques,Preprocessing
162,"['translate', 'english', 'translation', 'nepali', 'babelfish', 'sick', 'short', 'french', 'holavpn', 'mbart50']",Multilingual Machine Translation and Language Tools,Machine Translation and Multilingual NLP,Multilingual NLP
127,"['translation', 'language', 'translate', 'application', 'english', 'danish', 'bar', 'japanese', 'app', 'translator']",Language Translation Applications for Multilingual Communication,Machine Translation and Multilingual NLP,Multilingual NLP
140,"['arabic', 'support', 'language', 'translate', 'romanian', 'chatbot', 'english', 'rdrpostagger', 'android', 'service']",Multilingual NLP and Chatbot for Morphologically Complex Languages,Multilingual NLP for Morphologically Rich and Script-Diverse Languages,Multilingual NLP
82,"['arabic', 'hindi', 'unicode', 'character', 'transliteration', 'english', 'bengali', 'transliterate', 'persian', 'latin']",Multilingual Transliteration and Unicode Character Handling,Multilingual NLP for Morphologically Rich and Script-Diverse Languages,Multilingual NLP
65,"['audio', 'speech', 'transcribe', 'recognition', 'speaker', 'voice', 'transcript', 'file', 'speak', 'pitch']",Automatic Speech Recognition (ASR) and Audio Transcription,Speech-to-Text and NLU using Cloud Platforms,Interactive Systems
133,"['watson', 'ibm', 'api', 'service', 'understanding', 'request', 'curl', 'postman', 'discovery', 'nlu']",Using IBM Watson NLU and Discovery APIs for Natural Language Understanding,Speech-to-Text and NLU using Cloud Platforms,Interactive Systems
71,"['google', 'cloud', 'api', 'gcp', 'colab', 'dataflow', 'automl', 'error', 'service', 'tpu']",Google Cloud Platform (GCP) Services and Machine Learning APIs,Speech-to-Text and NLU using Cloud Platforms,Interactive Systems
125,"['api', 'google', 'cloud', 'natural', 'html', 'nl', 'language', 'weather', 'entity', 'tweet']",Entity Extraction and Text Analysis Using Google Cloud Natural Language API,Speech-to-Text and NLU using Cloud Platforms,Interactive Systems
37,"['lucene', 'solr', 'elasticsearch', 'search', 'query', 'index', 'analyzer', 'field', 'elastic', 'document']",Full-Text Search and Indexing with Lucene-Based Search Engines,Information Retrieval and Natural Language Query Systems,Interactive Systems
136,"['search', 'engine', 'query', 'user', 'google', 'page', 'question', 'autocomplete', 'answer', 'system']",Search Engine Systems and Query Understanding,Information Retrieval and Natural Language Query Systems,Interactive Systems
96,"['query', 'database', 'sql', 'natural', 'sparql', 'mongodb', 'language', 'freebase', 'employee', 'interface']",Natural Language Interfaces to Databases (NLIDB) and Query Systems,Information Retrieval and Natural Language Query Systems,Interactive Systems
69,"['luis', 'utterance', 'intent', 'entity', 'app', 'brand', 'recognize', 'dispatch', 'green', 'company']",Intent Recognition and Entity Extraction Using LUIS for Conversational AI,"Conversational AI, Intent Recognition, and Dialogue Systems",Interactive Systems
9,"['intent', 'bot', 'chatbot', 'dialogflow', 'user', 'conversation', 'chat', 'response', 'rasa', 'action']",Conversational AI and Intent-Based Dialogue Management with Chatbot Frameworks,"Conversational AI, Intent Recognition, and Dialogue Systems",Interactive Systems
33,"['question', 'answer', 'ask', 'user', 'distractor', 'system', 'faq', 'query', 'interrogative', 'yes']",Question Answering (QA) and FAQ Systems in NLP,"Conversational AI, Intent Recognition, and Dialogue Systems",Interactive Systems
141,"['rasa', 'nlu', 'story', 'entity', 'core', 'intent', 'spacynlp', 'template', 'pilot', 'sage']",Building Conversational Agents with Rasa NLU and Core,"Conversational AI, Intent Recognition, and Dialogue Systems",Interactive Systems
102,"['predicate', 'prolog', 'calculus', 'lambda', 'kitchen', 'logic', 'light', 'notation', 'order', 'quantifier']",Formal Semantics and Logical Representation in Computational Linguistics,Syntactic and Semantic Analysis in NLP and Computational Linguistics,Syntactic and Semantic Analysis
164,"['triple', 'rdf', 'graph', 'triplet', 'neo4j', 'knowledge', 'predicate', 'ontology', 'wall', 'container']",Knowledge Graphs and RDF Triples,Syntactic and Semantic Analysis in NLP and Computational Linguistics,Syntactic and Semantic Analysis
10,"['tree', 'dependency', 'parse', 'parser', 'stanford', 'node', 'np', 'corenlp', 'vp', 'graph']",Dependency Parsing with Stanford CoreNLP,Syntactic and Semantic Analysis in NLP and Computational Linguistics,Syntactic and Semantic Analysis
113,"['subject', 'sentence', 'noun', 'relation', 'phrase', 'verb', 'extract', 'clause', 'identify', 'object']",Syntactic Role Identification and Phrase Extraction in Sentence Analysis,Syntactic and Semantic Analysis in NLP and Computational Linguistics,Syntactic and Semantic Analysis
46,"['grammar', 'sentence', 'english', 'parser', 'grammatical', 'check', 'tool', 'generate', 'rule', 'parse']",Grammar Checking and Sentence Parsing Tools for English,Syntactic and Semantic Analysis in NLP and Computational Linguistics,Syntactic and Semantic Analysis
54,"['sentence', 'segmentation', 'split', 'boundary', 'punctuation', 'detection', 'tool', 'break', 'text', 'paragraph']",Sentence Segmentation and Boundary Detection,Syntactic and Semantic Analysis in NLP and Computational Linguistics,Syntactic and Semantic Analysis
22,"['natural', 'language', 'processing', 'nlp', 'java', 'library', 'tool', 'application', 'project', 'web']",Natural Language Processing (NLP) Tools and Libraries in Java,Syntactic and Semantic Analysis in NLP and Computational Linguistics,Syntactic and Semantic Analysis
147,"['java', 'parser', 'grammar', 'antlr', 'natural', 'height', 'language', 'gate', 'tool', 'role']",Grammar-Based Parsing Tools in Java,Syntactic and Semantic Analysis in NLP and Computational Linguistics,Syntactic and Semantic Analysis
118,"['programming', 'language', 'natural', 'mathematical', 'ture', 'compiler', 'syntax', 'scripting', 'spec', 'linq']",Comparative Linguistic Systems,Syntactic and Semantic Analysis in NLP and Computational Linguistics,Syntactic and Semantic Analysis
15,"['date', 'time', 'day', 'sutime', 'temporal', 'calendar', 'parse', 'week', 'year', 'natural']",Temporal Expression Recognition and Normalization,Syntactic and Semantic Analysis in NLP and Computational Linguistics,Syntactic and Semantic Analysis
166,"['grammar', 'parse', 'rule', 'parser', 'lisp', 'cfg', 'nltk', 'tree', 'trace', 'fcfg']",Context-Free Grammar Parsing and Syntactic Analysis with NLTK,Context-Free and Probabilistic Grammar Parsing,Syntactic and Semantic Analysis
119,"['grammar', 'pcfg', 'terminal', 'cfg', 'production', 'cnf', 'free', 'rule', 'titanic', 'steve']",Probabilistic and Context-Free Grammar (CFG/PCFG) Parsing,Context-Free and Probabilistic Grammar Parsing,Syntactic and Semantic Analysis
